,host_response_rate,host_listings_count,accommodates,latitude,longitude,guests_included,bathrooms,bedrooms,cleaning_fee,minimum_nights,maximum_nights,total_amenities_count,host_is_superhost,host_response_time,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,bed_type,instant_bookable,cancellation_policy,price
65,100,4,2,47.65295183,-122.33974520000001,2,1.0,1,65.0,2,1124,34,True,within an hour,False,Other neighborhoods,Apartment,Entire home/apt,Real Bed,True,moderate,121.62125000000009
66,100,35,2,47.62422157,-122.35782069999999,1,1.0,1,50.0,2,12,22,False,within an hour,False,Queen Anne,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,183.41999999999993
67,100,1,4,47.65068684,-122.38455049999999,2,1.0,1,28.0,1,1125,31,True,within a few hours,False,Magnolia,House,Entire home/apt,Real Bed,False,moderate,105.92260416666659
68,99,521,3,47.60898164,-122.33016770000002,2,1.0,1,89.0,2,1125,27,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,191.68416666666667
69,100,2,2,47.65475968,-122.38674920000001,2,1.0,1,0.0,2,1125,30,False,within an hour,True,Magnolia,Townhouse,Private room,Real Bed,True,moderate,57.93250000000001
70,100,2,2,47.70935147,-122.2979749,1,1.0,1,15.0,1,1125,38,True,within an hour,True,Lake City,House,Private room,Real Bed,False,flexible,78.75916666666667
71,100,2,4,47.57251427,-122.38571599999999,1,1.5,1,0.0,2,30,35,False,within an hour,False,West Seattle,Townhouse,Entire home/apt,Real Bed,True,moderate,127.10239583333338
72,100,4,4,47.658538899999996,-122.325818,2,1.0,0,60.0,2,1125,19,False,within an hour,True,Other neighborhoods,Apartment,Entire home/apt,Real Bed,True,moderate,115.67291666666674
73,100,5,2,47.6552627,-122.3453605,2,1.0,1,45.0,1,1125,43,True,within an hour,False,Other neighborhoods,Loft,Entire home/apt,Real Bed,True,moderate,118.71739583333328
74,90,2,3,47.62527226,-122.3665048,1,1.0,0,65.0,89,1125,33,False,within a few hours,True,Queen Anne,Condominium,Entire home/apt,Real Bed,False,moderate,110.17739583333325
75,89,2,2,47.60337994,-122.31343500000001,1,1.0,2,25.0,3,366,19,False,within an hour,False,Central Area,House,Private room,Real Bed,False,moderate,87.26604166666668
76,100,1,4,47.58691126,-122.3117294,1,1.0,0,50.0,2,1125,25,True,within an hour,True,Beacon Hill,Apartment,Entire home/apt,Real Bed,False,moderate,113.81072916666666
77,100,1,5,47.67994035,-122.31569809999999,4,1.0,2,55.0,2,100,46,True,within an hour,True,Other neighborhoods,Guest suite,Entire home/apt,Real Bed,False,strict_14_with_grace_period,132.76625
78,100,57,1,47.65105573,-122.33098570000001,1,3.5,1,75.0,4,1125,25,False,within a few hours,True,Other neighborhoods,House,Shared room,Real Bed,False,strict_14_with_grace_period,42.9767708333334
79,100,11,4,47.61561578,-122.34174499999999,4,1.0,0,75.0,2,30,20,True,within an hour,False,Downtown,Condominium,Entire home/apt,Real Bed,True,flexible,139.4323958333333
80,100,2,4,47.6230157,-122.3260325,1,1.0,1,95.0,1,365,20,True,within a few hours,False,Capitol Hill,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,130.71635416666663
81,100,1,2,47.63180621,-122.3073409,1,1.0,0,0.0,2,6,15,False,within an hour,False,Capitol Hill,Guest suite,Private room,Real Bed,True,flexible,75.95802083333334
82,86,1,2,47.65584565,-122.35649140000001,1,1.0,1,75.0,2,1125,28,True,within a few hours,True,Other neighborhoods,House,Entire home/apt,Real Bed,False,moderate,110.15604166666667
83,100,1,2,47.67122919,-122.3938871,1,1.0,0,15.0,2,30,41,True,within an hour,True,Ballard,Apartment,Entire home/apt,Real Bed,False,moderate,101.59427083333334
84,100,1,4,47.50774526,-122.37837590000001,1,1.0,3,0.0,2,2,15,False,within a few hours,True,West Seattle,House,Entire home/apt,Real Bed,False,flexible,154.09947916666667
85,74,129,4,47.61436369,-122.3317162,1,1.0,1,50.0,1,30,27,False,within a day,True,Downtown,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,171.9209375
86,100,3,4,47.61648926,-122.34600379999999,2,1.0,1,125.0,2,1125,36,True,within an hour,True,Downtown,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,144.15687499999999
87,99,8,2,47.60295205,-122.333294,1,1.0,1,10.0,1,30,11,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,157.92583333333295
88,100,2,2,47.56846754,-122.29185590000002,1,1.0,1,20.0,1,30,21,True,within an hour,False,Rainier Valley,House,Private room,Real Bed,True,flexible,58.80770833333335
89,100,3,2,47.70717774,-122.378642,1,1.0,1,100.0,2,1125,29,True,within an hour,True,Other neighborhoods,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,115.70895833333334
90,92,51,4,47.66701648,-122.3044009,1,1.0,1,60.0,1,1125,29,False,within an hour,True,University District,Apartment,Entire home/apt,Real Bed,False,moderate,94.86999999999998
91,100,3,2,47.67098702,-122.3751406,1,1.0,1,30.0,3,90,36,False,within an hour,True,Ballard,Townhouse,Private room,Real Bed,True,moderate,65.87468749999998
92,100,1,6,47.64067582,-122.36187369999999,6,2.0,3,150.0,2,27,36,False,within an hour,True,Queen Anne,House,Entire home/apt,Real Bed,True,strict_14_with_grace_period,289.7748958333334
93,100,6,6,47.57462683,-122.40886599999999,4,1.0,2,100.0,2,1125,31,False,within an hour,True,West Seattle,Guest suite,Entire home/apt,Real Bed,False,strict_14_with_grace_period,156.7433333333333
94,100,1,3,47.64771953,-122.33315159999998,2,1.0,1,125.0,7,60,20,True,within a few hours,False,Other neighborhoods,Boat,Entire home/apt,Real Bed,False,strict_14_with_grace_period,135.66406249999994
95,100,1,4,47.69986992,-122.3175882,1,1.0,2,40.0,2,90,29,True,within an hour,True,Northgate,House,Entire home/apt,Real Bed,True,flexible,107.77208333333333
96,99,152,2,47.61360705,-122.3326003,1,1.0,1,75.0,30,1125,18,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,163.07208333333338
97,90,1,5,47.610423,-122.2922906,4,1.5,4,75.0,3,30,47,False,within an hour,False,Central Area,House,Entire home/apt,Real Bed,True,moderate,197.06010416666672
98,100,1,4,47.60917641,-122.30528319999999,2,1.0,0,40.0,2,1124,40,True,within an hour,True,Central Area,Guesthouse,Entire home/apt,Real Bed,True,strict_14_with_grace_period,113.35177083333325
99,100,1,6,47.59910248,-122.31223689999999,1,3.0,3,110.0,1,1125,45,True,within an hour,True,Central Area,Townhouse,Entire home/apt,Real Bed,False,moderate,236.89281249999993
100,100,2,2,47.56274292,-122.28263659999999,1,1.0,1,0.0,2,28,29,True,within an hour,False,Rainier Valley,House,Private room,Real Bed,True,flexible,61.91072916666665
101,100,3,4,47.51796702,-122.3639068,2,2.0,2,175.0,3,10,37,True,within an hour,False,Delridge,House,Entire home/apt,Real Bed,True,strict_14_with_grace_period,224.12468749999996
102,100,1,4,47.54253076,-122.35021689999999,2,1.0,1,50.0,2,30,46,True,within an hour,False,Delridge,Guest suite,Entire home/apt,Real Bed,True,moderate,85.83760416666668
103,100,6,4,47.61626385,-122.34739809999999,2,1.0,0,60.0,1,90,38,True,within an hour,False,Downtown,Condominium,Entire home/apt,Real Bed,False,strict_14_with_grace_period,158.3286458333333
104,100,1,4,47.57420978,-122.290885,2,1.0,1,75.0,2,28,29,True,within an hour,True,Rainier Valley,Guest suite,Entire home/apt,Real Bed,False,moderate,112.33802083333337
105,99,14,2,47.61435767,-122.3127983,1,1.0,1,50.0,1,2,43,False,within an hour,False,Central Area,Serviced apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,110.77093750000007
106,80,1,2,47.62833259,-122.2883126,1,1.0,1,75.0,2,1125,32,False,within an hour,True,Central Area,Condominium,Entire home/apt,Real Bed,True,moderate,112.05031250000003
107,100,3,4,47.61518277,-122.34693190000002,1,2.0,2,100.0,7,1125,59,False,within a few hours,True,Downtown,Apartment,Entire home/apt,Real Bed,False,moderate,199.88541666666663
108,100,18,10,47.66757538,-122.31871559999999,1,4.0,5,275.0,3,1124,26,False,within an hour,False,University District,House,Entire home/apt,Real Bed,True,strict_14_with_grace_period,380.8316666666666
109,100,1,2,47.67434192,-122.4037479,1,1.0,2,75.0,3,1125,25,False,within an hour,False,Ballard,House,Entire home/apt,Real Bed,True,flexible,120.49124999999992
110,100,1,4,47.56318016,-122.28492309999999,2,1.0,2,75.0,2,30,25,True,within an hour,True,Rainier Valley,House,Entire home/apt,Real Bed,False,moderate,126.87760416666669
111,100,2,4,47.6505162,-122.36738840000001,4,1.0,2,49.0,2,4,40,True,within an hour,True,Queen Anne,House,Private room,Real Bed,False,moderate,107.58541666666673
112,99,1596,6,47.61453021,-122.3317096,1,2.0,2,49.0,1,1125,41,False,within an hour,True,Downtown,Condominium,Entire home/apt,Real Bed,True,strict_14_with_grace_period,295.96968749999996
113,100,1,6,47.52835627,-122.37914620000001,1,2.0,3,200.0,30,65,20,False,within a few hours,True,West Seattle,House,Entire home/apt,Real Bed,False,strict_14_with_grace_period,255.4731250000002
114,100,9,3,47.61207031,-122.32575279999999,2,1.0,1,50.0,1,1125,19,True,within an hour,True,Downtown,Apartment,Entire home/apt,Real Bed,False,moderate,134.8
115,100,1,4,47.73331631,-122.3605595,2,1.0,1,0.0,2,1125,26,True,within an hour,True,Other neighborhoods,Guest suite,Entire home/apt,Real Bed,False,strict_14_with_grace_period,117.78416666666672
116,100,1,4,47.58143268,-122.39410900000001,2,1.0,2,90.0,2,65,26,False,within an hour,True,West Seattle,House,Entire home/apt,Real Bed,False,moderate,141.60489583333344
117,99,521,3,47.61059069,-122.3423415,2,1.0,1,89.0,2,1125,21,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,183.03093749999994
118,100,7,4,47.62213656,-122.32570249999999,1,1.0,1,99.0,1,1125,25,True,within a few hours,True,Capitol Hill,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,113.38812499999983
119,100,3,2,47.64582448,-122.3213996,1,2.0,1,30.0,3,120,29,True,within an hour,False,Capitol Hill,House,Private room,Real Bed,False,strict_14_with_grace_period,76.0313541666667
120,100,2,3,47.65651486,-122.329451,2,1.0,1,80.0,3,1125,31,True,within an hour,True,Other neighborhoods,House,Private room,Futon,True,moderate,102.47625000000004
121,100,2,5,47.67780944,-122.3586213,2,1.0,2,0.0,2,6,24,True,within a few hours,True,Other neighborhoods,House,Private room,Real Bed,False,moderate,89.06031250000002
122,100,1,2,47.58932382,-122.3045969,1,1.0,1,15.0,1,30,18,False,within an hour,False,Central Area,House,Private room,Real Bed,True,moderate,69.56177083333334
123,100,57,1,47.65091425,-122.33095700000001,1,3.5,1,75.0,4,90,26,False,within a few hours,True,Other neighborhoods,House,Shared room,Real Bed,False,strict_14_with_grace_period,41.28708333333333
124,100,2,3,47.57287616,-122.30987720000002,2,1.0,0,60.0,2,30,63,True,within an hour,True,Beacon Hill,Guesthouse,Entire home/apt,Real Bed,False,strict_14_with_grace_period,123.22177083333335
125,100,1,4,47.61258697,-122.3296387,2,1.0,1,49.0,3,60,39,True,within an hour,True,Downtown,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,149.26062499999998
126,100,1,2,47.67361517,-122.4027697,1,1.0,1,60.0,1,1125,14,False,within an hour,True,Ballard,House,Private room,Real Bed,True,flexible,85.56010416666672
127,100,1,4,47.59498996,-122.2947219,2,1.0,1,35.0,2,21,29,True,within an hour,True,Central Area,Guest suite,Entire home/apt,Real Bed,False,moderate,104.21197916666667
128,100,8,2,47.60314267,-122.31286580000001,1,1.0,0,35.0,1,14,26,False,within an hour,False,Central Area,Apartment,Entire home/apt,Real Bed,True,moderate,79.04677083333334
129,100,1,2,47.60808439,-122.2943425,2,1.0,1,15.0,2,1125,24,True,within an hour,True,Central Area,Apartment,Entire home/apt,Real Bed,False,moderate,102.73781250000006
130,100,2,2,47.61273182,-122.34584040000001,2,1.0,1,25.0,1,10,37,True,within an hour,True,Downtown,Apartment,Private room,Real Bed,True,strict_14_with_grace_period,125.36989583333339
131,100,3,8,47.6344957,-122.3622239,4,1.0,3,130.0,3,31,42,True,within an hour,True,Queen Anne,House,Entire home/apt,Real Bed,False,strict_14_with_grace_period,269.48406250000016
132,99,152,2,47.61791827,-122.3485298,1,1.0,1,75.0,5,1125,18,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,166.7005208333333
133,100,11,4,47.61212508,-122.3492368,1,1.0,0,65.0,1,1125,19,True,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict_14_with_grace_period,132.79729166666667
134,99,521,5,47.61966497,-122.338435,4,2.0,2,129.0,2,1125,25,False,within an hour,False,Cascade,Apartment,Entire home/apt,Real Bed,True,strict,329.41041666666655
135,100,2,4,47.70565275,-122.30782649999999,3,1.0,2,100.0,1,1125,31,False,within an hour,False,Lake City,House,Entire home/apt,Real Bed,False,moderate,128.7694791666666
136,92,51,3,47.66077279,-122.312886,1,1.0,0,60.0,2,1125,16,False,within an hour,True,University District,Apartment,Entire home/apt,Real Bed,False,moderate,84.68354166666668
137,100,1,2,47.55566185,-122.26824429999999,3,1.0,1,40.0,1,1125,28,True,within an hour,False,Seward Park,Guest suite,Entire home/apt,Real Bed,True,flexible,97.93260416666664
138,100,2,3,47.55623565,-122.38598049999999,2,1.0,2,95.0,2,365,52,False,within an hour,True,West Seattle,Guest suite,Entire home/apt,Real Bed,False,strict_14_with_grace_period,133.7429166666667
139,100,3,2,47.66545032,-122.3077412,4,1.0,1,25.0,1,45,40,False,within an hour,False,University District,House,Private room,Real Bed,True,moderate,65.444375
140,91,2,4,47.61099527,-122.3435219,2,1.0,0,65.0,1,40,23,False,within a few hours,True,Downtown,Apartment,Entire home/apt,Real Bed,False,strict_14_with_grace_period,149.00562499999995
141,100,1,4,47.55592007,-122.36375929999998,1,2.5,3,0.0,5,31,14,False,within an hour,False,Delridge,Townhouse,Entire home/apt,Real Bed,True,flexible,187.0973958333333
142,100,1,8,47.57477347,-122.38185220000001,4,3.0,4,100.0,2,90,13,False,within an hour,True,West Seattle,House,Entire home/apt,Real Bed,False,moderate,257.3965624999999
143,100,123,2,47.64679189,-122.35720400000001,1,1.0,1,20.0,1,21,18,False,within an hour,False,Queen Anne,House,Private room,Real Bed,True,strict_14_with_grace_period,69.94260416666663
144,100,1,4,47.63800138,-122.36100479999999,2,1.0,1,50.0,2,30,25,True,within an hour,True,Queen Anne,Guest suite,Entire home/apt,Real Bed,False,moderate,116.26979166666675
145,100,1,2,47.66525806,-122.30358999999999,1,1.0,0,6.0,1,31,35,False,within an hour,False,University District,House,Entire home/apt,Real Bed,True,flexible,90.04312500000002
146,100,2,7,47.67131308,-122.37087120000001,5,1.0,3,100.0,3,28,46,True,within an hour,True,Ballard,House,Entire home/apt,Real Bed,False,moderate,225.1787499999998
147,100,1,2,47.56953477,-122.38463780000001,1,1.0,1,85.0,2,30,23,False,within an hour,True,West Seattle,Guest suite,Entire home/apt,Real Bed,True,flexible,116.06468749999998
148,99,521,5,47.61611159,-122.32750729999998,4,2.0,2,129.0,21,1125,24,False,within an hour,False,Capitol Hill,Apartment,Entire home/apt,Real Bed,True,strict,305.2575
149,95,2,4,47.61535441,-122.3139341,2,1.0,1,85.0,2,10,36,True,within an hour,False,Capitol Hill,Apartment,Entire home/apt,Real Bed,True,moderate,148.2514583333333
150,99,521,3,47.60960053,-122.33969340000002,2,1.0,0,89.0,2,1125,21,False,within an hour,False,Downtown,Apartment,Entire home/apt,Real Bed,True,strict,117.54374999999996
151,100,2,2,47.66666543,-122.3582992,1,1.0,1,39.0,7,1125,15,False,within an hour,False,Other neighborhoods,House,Private room,Real Bed,False,flexible,61.81968749999999
